1,1,1,1,2013-12-23 09:19:40.257,3,10,1
2,1,1,2,2013-01-14 16:45:13.41,7,13,1
3,1,1,3,2013-10-30 01:09:00.37,9,5,1
4,1,1,4,2013-09-19 21:52:41.561,10,7,1
5,1,1,5,2013-09-29 02:57:38.632,10,11,1
6,1,1,6,2013-07-06 11:02:21.852,3,5,1
7,1,1,7,2013-02-13 05:59:36.65,10,14,1
8,1,1,8,2013-11-01 14:44:29.769,5,11,1
9,1,1,9,2013-01-29 07:59:42.758,4,11,1
10,1,1,10,2013-03-09 18:54:31.585,6,7,1
11,1,1,11,2013-11-13 13:07:32.641,2,6,1
12,1,1,12,2013-07-06 00:40:39.982,1,5,1
13,1,1,13,2013-11-02 23:54:37.929,1,8,1
14,1,1,14,2013-07-06 11:46:52.191,2,8,1
15,1,1,15,2013-09-02 07:52:31.797,9,9,1
16,1,1,16,2013-02-12 01:04:52.243,10,13,1
17,1,1,17,2013-06-19 06:20:54.117,5,14,1
18,1,1,18,2013-10-01 16:05:14.2,3,5,1
19,1,1,19,2013-02-24 03:49:56.945,3,14,1
20,1,1,20,2013-07-21 00:19:07.976,9,11,1
21,1,1,21,2013-07-03 05:40:50.468,4,5,1
22,1,1,22,2013-06-25 10:05:00.097,1,13,1
23,1,1,23,2013-05-23 06:00:02.306,8,11,1
24,1,1,24,2013-07-19 15:19:20.411,6,7,1
25,1,1,25,2013-04-04 16:38:44.519,5,12,1
26,1,1,26,2013-12-27 23:07:12.693,7,5,1
27,1,1,27,2013-04-08 14:51:53.412,8,6,1
28,1,1,28,2013-11-26 05:45:22.991,8,7,1
29,1,1,29,2013-02-22 22:35:46.494,9,7,1
30,1,1,30,2013-10-08 22:32:16.251,6,14,1
31,1,1,31,2013-10-01 19:10:21.148,10,14,1
32,1,1,32,2013-10-04 20:15:05.377,3,7,1
33,1,1,33,2013-10-16 04:17:42.709,3,9,1
34,1,1,34,2013-06-22 16:14:05.985,1,11,1
35,1,1,35,2013-02-01 10:41:16.858,8,14,1
36,1,1,36,2013-09-01 11:36:10.018,1,5,1
37,1,1,37,2013-08-20 15:36:53.201,2,12,1
38,1,1,38,2013-01-26 08:12:31.35,6,11,1
39,1,1,39,2013-08-09 14:14:28.891,1,8,1
40,1,1,40,2013-06-12 01:38:45.245,5,8,1
41,1,1,41,2013-03-28 11:45:56.707,5,6,1
42,1,1,42,2013-11-18 20:11:10.231,2,10,1
43,1,1,43,2013-05-23 20:03:28.142,8,14,1
44,1,1,44,2013-11-14 03:01:06.727,6,9,1
45,1,1,45,2013-08-18 20:53:59.886,3,11,1
46,1,1,46,2013-10-23 02:34:34.892,2,14,1
47,1,1,47,2013-12-17 12:53:23.692,10,10,1
48,1,1,48,2013-02-01 01:24:07.061,5,14,1
49,1,1,49,2013-01-10 07:53:14.413,3,7,1
50,1,1,50,2013-03-02 19:18:32.061,5,6,1
51,1,1,51,2013-02-07 10:04:51.541,10,9,1
52,1,1,52,2013-03-24 08:43:08.2,9,9,1
53,1,1,53,2013-01-22 18:12:41.844,8,7,1
54,1,1,54,2013-11-16 17:04:48.307,5,8,1
55,1,1,55,2013-10-04 19:34:27.82,8,10,1
56,1,1,56,2013-03-29 10:23:49.16,4,6,1
57,1,1,57,2013-09-18 23:34:13.552,6,9,1
58,1,1,58,2013-10-15 06:46:27.016,3,12,1
59,1,1,59,2013-04-28 19:37:59.655,10,6,1
60,1,1,60,2013-01-17 18:32:30.145,10,8,1
61,1,1,61,2013-12-14 04:32:19.364,9,7,1
62,1,1,62,2013-11-27 11:41:13.448,6,5,1
63,1,1,63,2013-04-28 10:22:51.761,7,7,1
64,1,1,64,2013-05-01 19:33:42.912,5,13,1
65,1,1,65,2013-09-07 23:58:36.729,5,13,1
66,1,1,66,2013-05-21 11:32:43.556,4,8,1
67,1,1,67,2013-12-27 17:12:03.084,5,12,1
68,1,1,68,2013-12-27 06:54:57.958,4,8,1
69,1,1,69,2013-06-06 02:33:44.19,2,9,1
70,1,1,70,2013-06-18 04:15:33.918,9,9,1
71,1,1,71,2013-03-01 08:03:49.828,5,11,1
